likes,no_of_comments,follower_count_at_t,image_path,hour_of_day,day_of_week_sin,day_of_week_cos,year,month,day
154552,0,40934474,../Data/insta_data/0.jpg,2,0.9749279121818236,-0.22252093395631434,4,7,8
97386,0,40934474,../Data/insta_data/2.jpg,2,0.9749279121818236,-0.22252093395631434,4,7,1
145632,0,40934474,../Data/insta_data/4.jpg,1,-0.433883739117558,-0.9009688679024191,4,6,26
76461,0,40934474,../Data/insta_data/6.jpg,6,0.9749279121818236,-0.22252093395631434,4,6,24
174620,0,40934474,../Data/insta_data/8.jpg,1,-0.7818314824680299,0.6234898018587334,4,6,21
160101,0,40934474,../Data/insta_data/9.jpg,2,0.7818314824680298,0.6234898018587336,4,6,16
117820,0,40934474,../Data/insta_data/11.jpg,2,0.0,1.0,4,6,8
205728,0,40934474,../Data/insta_data/19.jpg,7,-0.7818314824680299,0.6234898018587334,4,5,17
350579,0,40934474,../Data/insta_data/20.jpg,1,-0.7818314824680299,0.6234898018587334,4,5,3
198168,0,40934474,../Data/insta_data/21.jpg,2,-0.433883739117558,-0.9009688679024191,4,4,24
176636,0,40934474,../Data/insta_data/22.jpg,4,0.43388373911755823,-0.900968867902419,4,4,23
321514,0,40934474,../Data/insta_data/23.jpg,2,0.9749279121818236,-0.22252093395631434,4,4,22
118356,0,40934474,../Data/insta_data/24.jpg,4,0.7818314824680298,0.6234898018587336,4,4,21
172678,0,40934474,../Data/insta_data/25.jpg,2,0.7818314824680298,0.6234898018587336,4,4,14
213930,0,40934474,../Data/insta_data/28.jpg,4,0.43388373911755823,-0.900968867902419,4,4,2
114216,0,40934474,../Data/insta_data/30.jpg,6,0.0,1.0,4,3,23
125268,0,40934474,../Data/insta_data/32.jpg,1,0.43388373911755823,-0.900968867902419,4,3,12
143906,0,40934474,../Data/insta_data/34.jpg,2,0.9749279121818236,-0.22252093395631434,4,3,11
162926,0,40934474,../Data/insta_data/37.jpg,3,0.9749279121818236,-0.22252093395631434,4,3,4
290423,0,40934474,../Data/insta_data/39.jpg,8,-0.9749279121818236,-0.2225209339563146,4,2,29
476939,0,40934474,../Data/insta_data/42.jpg,2,0.43388373911755823,-0.900968867902419,4,2,27
256145,0,40934474,../Data/insta_data/47.jpg,8,-0.9749279121818236,-0.2225209339563146,4,2,15
213023,0,40934474,../Data/insta_data/49.jpg,11,-0.433883739117558,-0.9009688679024191,4,2,7
67467,0,40934474,../Data/insta_data/57.jpg,2,0.9749279121818236,-0.22252093395631434,4,1,22
59734,0,40934474,../Data/insta_data/59.jpg,0,0.0,1.0,4,1,20
79966,0,40934474,../Data/insta_data/61.jpg,5,-0.9749279121818236,-0.2225209339563146,4,1,18
65682,0,40934474,../Data/insta_data/62.jpg,7,-0.433883739117558,-0.9009688679024191,4,1,17
91875,0,40934474,../Data/insta_data/64.jpg,16,0.9749279121818236,-0.22252093395631434,4,1,15
147872,0,40934474,../Data/insta_data/66.jpg,1,0.9749279121818236,-0.22252093395631434,4,1,15
162822,0,40934474,../Data/insta_data/69.jpg,2,0.7818314824680298,0.6234898018587336,4,1,14
72864,0,40934474,../Data/insta_data/71.jpg,8,0.0,1.0,4,1,13
171365,0,40934474,../Data/insta_data/75.jpg,2,-0.7818314824680299,0.6234898018587334,4,1,12
104609,0,40934474,../Data/insta_data/76.jpg,9,-0.9749279121818236,-0.2225209339563146,4,1,11
77277,0,40934474,../Data/insta_data/78.jpg,2,-0.433883739117558,-0.9009688679024191,4,1,10
60200,0,40934474,../Data/insta_data/79.jpg,5,0.43388373911755823,-0.900968867902419,4,1,9
84061,0,40934474,../Data/insta_data/80.jpg,4,0.9749279121818236,-0.22252093395631434,4,1,8
215987,0,40934474,../Data/insta_data/81.jpg,23,0.7818314824680298,0.6234898018587336,4,1,7
113429,0,40934474,../Data/insta_data/82.jpg,1,0.7818314824680298,0.6234898018587336,4,1,7
121064,584,37729625,../Data/insta_data/93.jpg,4,0.7818314824680298,0.6234898018587336,4,6,23
334749,1581,37729625,../Data/insta_data/96.jpg,2,0.0,1.0,4,6,22
147259,510,37729625,../Data/insta_data/97.jpg,1,0.0,1.0,4,6,22
71583,364,37729625,../Data/insta_data/102.jpg,12,-0.9749279121818236,-0.2225209339563146,4,6,6
300393,975,37729625,../Data/insta_data/116.jpg,12,0.43388373911755823,-0.900968867902419,4,4,23
78101,478,37729625,../Data/insta_data/123.jpg,6,-0.9749279121818236,-0.2225209339563146,4,4,4
112987,43,37729625,../Data/insta_data/140.jpg,3,-0.9749279121818236,-0.2225209339563146,4,2,22
104573,28,37729625,../Data/insta_data/149.jpg,17,-0.433883739117558,-0.9009688679024191,4,2,7
32696,15,37729625,../Data/insta_data/150.jpg,17,-0.433883739117558,-0.9009688679024191,4,2,7
108021,18,37729625,../Data/insta_data/181.jpg,10,-0.433883739117558,-0.9009688679024191,3,12,13
61260,431,37229501,../Data/insta_data/192.jpg,5,-0.433883739117558,-0.9009688679024191,4,7,10
243551,888,37229501,../Data/insta_data/198.jpg,6,0.7818314824680298,0.6234898018587336,4,7,7
69612,391,37229501,../Data/insta_data/199.jpg,10,0.0,1.0,4,7,6
287985,732,37229501,../Data/insta_data/200.jpg,4,0.0,1.0,4,7,6
56021,240,37229501,../Data/insta_data/204.jpg,10,-0.9749279121818236,-0.2225209339563146,4,7,4
30689,216,37229501,../Data/insta_data/206.jpg,11,-0.433883739117558,-0.9009688679024191,4,7,3
125862,444,37229501,../Data/insta_data/207.jpg,9,-0.433883739117558,-0.9009688679024191,4,7,3
118834,249,37229501,../Data/insta_data/210.jpg,14,0.43388373911755823,-0.900968867902419,4,7,2
25460,149,37229501,../Data/insta_data/211.jpg,9,0.43388373911755823,-0.900968867902419,4,7,2
52821,307,37229501,../Data/insta_data/214.jpg,6,0.9749279121818236,-0.22252093395631434,4,7,1
42029,588,37229501,../Data/insta_data/216.jpg,11,0.7818314824680298,0.6234898018587336,4,6,30
285614,602,37229501,../Data/insta_data/217.jpg,9,0.7818314824680298,0.6234898018587336,4,6,30
26274,266,37229501,../Data/insta_data/219.jpg,10,0.0,1.0,4,6,29
113394,592,37229501,../Data/insta_data/220.jpg,8,0.0,1.0,4,6,29
135044,238,37229501,../Data/insta_data/222.jpg,11,-0.7818314824680299,0.6234898018587334,4,6,28
132800,334,37229501,../Data/insta_data/225.jpg,8,-0.9749279121818236,-0.2225209339563146,4,6,27
61775,205,37229501,../Data/insta_data/227.jpg,10,-0.433883739117558,-0.9009688679024191,4,6,26
97237,412,37229501,../Data/insta_data/229.jpg,1,-0.433883739117558,-0.9009688679024191,4,6,26
238655,685,37229501,../Data/insta_data/231.jpg,15,0.9749279121818236,-0.22252093395631434,4,6,24
170895,444,37229501,../Data/insta_data/242.jpg,7,0.43388373911755823,-0.900968867902419,4,6,18
38362,249,37229501,../Data/insta_data/251.jpg,8,0.0,1.0,4,6,15
34686,4294,37229501,../Data/insta_data/264.jpg,5,-0.9749279121818236,-0.2225209339563146,4,6,6
244150,459,37229501,../Data/insta_data/269.jpg,12,0.43388373911755823,-0.900968867902419,4,6,4
116697,319,37229501,../Data/insta_data/275.jpg,13,0.7818314824680298,0.6234898018587336,4,6,2
91086,317,37229501,../Data/insta_data/277.jpg,10,0.0,1.0,4,6,1
194149,532,37229501,../Data/insta_data/284.jpg,8,-0.433883739117558,-0.9009688679024191,4,5,29
74661,199,37229501,../Data/insta_data/292.jpg,10,0.9749279121818236,-0.22252093395631434,4,5,27
201551,592,37229501,../Data/insta_data/294.jpg,4,-0.7818314824680299,0.6234898018587334,4,5,24
64888,365,37229501,../Data/insta_data/296.jpg,12,-0.433883739117558,-0.9009688679024191,4,5,22
135453,875,35860886,../Data/insta_data/302.jpg,3,-0.433883739117558,-0.9009688679024191,4,7,10
103770,914,35860886,../Data/insta_data/308.jpg,4,-0.9749279121818236,-0.2225209339563146,4,7,4
185319,1512,35860886,../Data/insta_data/309.jpg,0,0.43388373911755823,-0.900968867902419,4,7,2
135337,1128,35860886,../Data/insta_data/312.jpg,3,-0.7818314824680299,0.6234898018587334,4,6,28
129696,686,35860886,../Data/insta_data/314.jpg,2,-0.9749279121818236,-0.2225209339563146,4,6,27
